tour,unsplash_url,described_as,confidence,why_this_one,open_to_check
Serengeti: The Calving Ground,https://images.unsplash.com/photo-1518459384564-ecfd8e80721f?w=1600&q=75&auto=format&fit=crop,A large herd of wildebeest running across a dry grassy savanna with safari vehicles,high,"Names wildebeest, savanna and vehicles — matches the calving-season premise directly.",https://images.unsplash.com/photo-1518459384564-ecfd8e80721f?w=1600&q=75&auto=format&fit=crop
Okavango: Water Season,https://images.unsplash.com/photo-1590214766638-c8dbb1262b79?w=1600&q=75&auto=format&fit=crop,two elephants swimming in a body of water,high,Water-borne game is exactly the flood-season proposition.,https://images.unsplash.com/photo-1590214766638-c8dbb1262b79?w=1600&q=75&auto=format&fit=crop
Luangwa: On Foot,https://images.unsplash.com/photo-1746719919307-2bf5e3b1cab4?w=1600&q=75&auto=format&fit=crop,A leopard lounges on a tree branch,medium,Not a walking shot — nothing credible existed. Leopard is the valley's signature and the copy already leads on it.,https://images.unsplash.com/photo-1746719919307-2bf5e3b1cab4?w=1600&q=75&auto=format&fit=crop
Laikipia: The Private Plateau,https://images.unsplash.com/photo-1781646292529-31243c398dad?w=1600&q=75&auto=format&fit=crop,A rhinoceros stands in dry grass under a clear sky,high,Rhino tracking is this tour's headline activity.,https://images.unsplash.com/photo-1781646292529-31243c398dad?w=1600&q=75&auto=format&fit=crop
Virunga: Eight Families,https://images.unsplash.com/photo-1509897739002-791fa79aac9b?w=1600&q=75&auto=format&fit=crop,photo of silver-back gorilla beside tree,LOW,CHECK THIS ONE. Most gorilla stock is captive. 'Beside tree' hints outdoors but cannot be confirmed without looking.,https://images.unsplash.com/photo-1509897739002-791fa79aac9b?w=1600&q=75&auto=format&fit=crop
Skeleton Coast: Fog and Bone,https://images.unsplash.com/photo-1563985336376-568060942b80?w=1600&q=75&auto=format&fit=crop,deserts by the beach,high,Desert meeting ocean is literally what the Skeleton Coast is.,https://images.unsplash.com/photo-1563985336376-568060942b80?w=1600&q=75&auto=format&fit=crop
Mnemba: After the Safari,https://images.unsplash.com/photo-1575999502951-4ab25b5ca889?w=1600&q=75&auto=format&fit=crop,"A white sand beach with palm trees and a wooden pier in Zanzibar, Tanzania",high,The only candidate whose description names the actual location.,https://images.unsplash.com/photo-1575999502951-4ab25b5ca889?w=1600&q=75&auto=format&fit=crop
Svalbard: Latitude 79,https://images.unsplash.com/photo-1587125507575-7451184560a6?w=1600&q=75&auto=format&fit=crop,white polar bear on ice,high,"On ice, not 'snow covered ground' or 'cement' — the captive giveaways in the other results.",https://images.unsplash.com/photo-1587125507575-7451184560a6?w=1600&q=75&auto=format&fit=crop
Galápagos: Out of Season,https://images.unsplash.com/photo-1503301360699-4f60cf292ec8?w=1600&q=75&auto=format&fit=crop,yellow iguana on rocks during daytime,high,Yellow land iguana is endemic to the Galapagos — it cannot be somewhere else.,https://images.unsplash.com/photo-1503301360699-4f60cf292ec8?w=1600&q=75&auto=format&fit=crop
Bhutan: The Long Valley,https://images.unsplash.com/photo-1772203248551-978d4c154804?w=1600&q=75&auto=format&fit=crop,Monastery built into a steep cliff face,high,That description is Taktsang and very little else.,https://images.unsplash.com/photo-1772203248551-978d4c154804?w=1600&q=75&auto=format&fit=crop
