tour_slug,activity_slug,displayOrder
serengeti-the-calving-ground,game-drives,1
serengeti-the-calving-ground,ballooning,2
serengeti-the-calving-ground,birdwatching,3
serengeti-the-calving-ground,scenic-flights,4
serengeti-the-calving-ground,private-dining,5
okavango-water-season,game-drives,1
okavango-water-season,canoeing,2
okavango-water-season,night-drives,3
okavango-water-season,birdwatching,4
okavango-water-season,scenic-flights,5
luangwa-on-foot,walking-safari,1
luangwa-on-foot,night-drives,2
luangwa-on-foot,game-drives,3
luangwa-on-foot,birdwatching,4
laikipia-the-private-plateau,horse-riding,1
laikipia-the-private-plateau,rhino-tracking,2
laikipia-the-private-plateau,game-drives,3
laikipia-the-private-plateau,walking-safari,4
laikipia-the-private-plateau,cultural-visits,5
virunga-eight-families,gorilla-trekking,1
virunga-eight-families,hiking,2
virunga-eight-families,birdwatching,3
virunga-eight-families,cultural-visits,4
skeleton-coast-fog-and-bone,scenic-flights,1
skeleton-coast-fog-and-bone,desert-exploration,2
skeleton-coast-fog-and-bone,game-drives,3
skeleton-coast-fog-and-bone,hiking,4
skeleton-coast-fog-and-bone,marine-wildlife,5
mnemba-after-the-safari,snorkelling,1
mnemba-after-the-safari,diving,2
mnemba-after-the-safari,sailing,3
mnemba-after-the-safari,marine-wildlife,4
mnemba-after-the-safari,private-dining,5
svalbard-latitude-79,polar-wildlife,1
svalbard-latitude-79,zodiac-cruising,2
svalbard-latitude-79,marine-wildlife,3
svalbard-latitude-79,birdwatching,4
galapagos-out-of-season,snorkelling,1
galapagos-out-of-season,marine-wildlife,2
galapagos-out-of-season,zodiac-cruising,3
galapagos-out-of-season,hiking,4
galapagos-out-of-season,birdwatching,5
bhutan-the-long-valley,hiking,1
bhutan-the-long-valley,monasteries,2
bhutan-the-long-valley,festivals,3
bhutan-the-long-valley,cultural-visits,4
