slug,name,country,location,summary,description,coverImage,images,classification,featured,visitDuration,priceFrom,hotelsAvailable,stayNote,isActive,displayOrder
ngorongoro-crater,Ngorongoro Crater,Tanzania,Ngorongoro,"The world's largest unbroken caldera, with lion, rhino and flamingo on its floor.","A collapsed volcano 600 metres deep and nearly 20 kilometres across. Its floor holds one of the densest concentrations of wildlife in Africa, including the black rhino that are hard to find anywhere else in the region.",https://images.unsplash.com/photo-1516426122078-c23e76319801?w=1600,https://images.unsplash.com/photo-1547970810-dc1eac37d174?w=1600 | https://images.unsplash.com/photo-1535941339077-2dd1c7963098?w=1600,standard,false,Full day,,true,Lodges on the crater rim,true,11
hagia-sophia,Hagia Sophia,Turkey,Istanbul,"Justinian's sixth-century church, later an imperial mosque, still crowned by one of the great domes of the ancient world.","Completed in 537 under Emperor Justinian, Hagia Sophia was the largest church in Christendom for almost a thousand years. After 1453 it became an imperial mosque, gaining its minarets, and in 2020 it returned to use as a mosque. Its dome, about 31 metres across, seems to float on a ring of forty windows.

Visitors now enter the upper galleries, where the light is best and the Byzantine mosaics are close enough to study. Look for the 13th-century Deësis panel of Christ, and for a faint runic inscription on a marble balustrade, thought to have been carved by a Viking guard.",/images/world/attractions/hagia-sophia.jpg,,special,true,1-2 hours,,true,"Stay in Sultanahmet, a short walk away",true,2
topkapi-palace,Topkapı Palace,Turkey,Istanbul,"The Ottoman sultans' palace for nearly four centuries, with courtyards, treasures and a harem above the Bosphorus.","Topkapı was begun by Mehmed II soon after the conquest of 1453 and served as the sultans' main residence until the court moved to Dolmabahçe in the 1850s. Rather than one great building, it is a series of courtyards and pavilions, each more private than the last.

The Treasury holds the Topkapı Dagger and the 86-carat Spoonmaker's Diamond, and the Chamber of Sacred Relics keeps objects revered across the Muslim world. The Harem, with its tiled rooms and narrow corridors, needs extra time. Walk through to the Fourth Courtyard for a view over the Golden Horn and the Bosphorus.",/images/world/attractions/topkapi-palace.jpg,,standard,false,Half day,,true,"Stay in Sultanahmet, a five-minute walk",true,12
cappadocia-goreme,Göreme and the Valleys of Cappadocia,Turkey,Cappadocia,"Fairy chimneys, painted cave churches and a sky full of hot-air balloons at sunrise.","Millions of years of erosion have shaped Cappadocia's volcanic tuff into cones, pillars and folded valleys. From the early Christian period onwards, communities carved churches, chapels and homes into the rock. The Göreme Open-Air Museum groups some of the finest, with frescoes largely from the 10th to 12th centuries; the Dark Church keeps its colours best.

At dawn, weather permitting, scores of balloons lift off over the valleys, a sight many travellers come for alone. Underground cities such as Derinkuyu and Kaymaklı descend several levels below ground. The area is a UNESCO World Heritage Site, listed in 1985.",/images/world/attractions/cappadocia-goreme.jpg,,standard,false,2 days,,true,Stay in a cave hotel in Göreme or Uçhisar,true,13
pamukkale-hierapolis,Pamukkale and Hierapolis,Turkey,Pamukkale,Brilliant white travertine terraces and the ruins of a Roman spa city on the hill above.,"Pamukkale, 'cotton castle' in Turkish, is a hillside of white terraces laid down over millennia by calcium-rich thermal water. Shallow pools step down the slope and turn pale blue in bright sun. Visitors walk barefoot along a set path to protect the surface.

Above lies Hierapolis, founded in the 2nd century BC and later a prosperous Roman spa. Its large theatre and long necropolis are well preserved. In the Antique Pool you can swim in warm spring water among fallen marble columns. Together they have been a UNESCO World Heritage Site since 1988.",/images/world/attractions/pamukkale-hierapolis.jpg,,standard,false,Half day,,true,Stay in Pamukkale village or at a thermal hotel in Karahayıt,true,14
ephesus,Ephesus,Turkey,Selçuk,"The finest classical city in the eastern Mediterranean, with a marble street, grand theatre and the Library of Celsus.","Ephesus was one of the great cities of the Roman province of Asia, a port and centre of trade until its harbour silted up. Today a marble street runs downhill between temples, fountains and public latrines to the two-storey façade of the Library of Celsus, built in the early 2nd century AD.

The Great Theatre held around 25,000 people. Under a protective roof, the Terrace Houses reveal wealthy Roman homes with mosaics and wall paintings, and are well worth the separate ticket. The site became a UNESCO World Heritage Site in 2015.",/images/world/attractions/ephesus.jpg,,standard,false,Half day,,true,Stay in Selçuk or at a boutique hotel in the hills at Şirince,true,15
burj-khalifa,Burj Khalifa,United Arab Emirates,Dubai,"The world's tallest building, with views across Dubai, the Gulf and the desert from the observation decks.","Opened in January 2010, Burj Khalifa rises 828 metres over Downtown Dubai. Its Y-shaped plan draws on the form of a desert flower, and its setbacks spiral upward to a slender spire. The Armani Hotel occupies the lower floors.

The At the Top decks on levels 124 and 125 look out over the city, the coast and the dunes. The higher lounge on level 148, at 555 metres, is quieter and includes hosted service. Below, the Dubai Fountain performs in the lake each evening, best seen from a terrace on the waterfront promenade.",/images/world/attractions/burj-khalifa.jpg,,exclusive,true,2-3 hours,,true,"Stay in Downtown Dubai, within walking distance of the tower",true,1
al-fahidi-dubai-creek,Al Fahidi and Dubai Creek,United Arab Emirates,Dubai,"Wind-tower houses, an abra crossing and the spice and gold souks of old Dubai.","Long before the towers, Dubai was a trading town on the creek. The Al Fahidi Historical Neighbourhood, once called Bastakiya, preserves lanes of coral-stone and gypsum houses topped with wind towers, an early form of cooling. Many now hold galleries, small museums and cafés.

From the nearby abra station, a traditional wooden water taxi crosses to Deira in a few minutes. There, the Spice Souk smells of saffron, dried lemons and frankincense, and the Gold Souk glitters around the corner. The Sheikh Mohammed Centre for Cultural Understanding hosts Emirati meals and open conversations about local customs.",/images/world/attractions/al-fahidi-dubai-creek.jpg,,standard,false,Half day,,true,Boutique heritage hotels sit within Al Fahidi itself,true,16
dubai-desert-conservation-reserve,Dubai Desert Conservation Reserve,United Arab Emirates,Dubai,"Protected red dunes, Arabian oryx and gazelles, under an hour from the city.","Established in 2003, the Dubai Desert Conservation Reserve covers some 225 square kilometres of dunes and gravel plains. Access is limited to a small number of approved operators, so the desert here feels calmer than elsewhere. Arabian oryx, once extinct in the wild, and sand gazelles graze among the ghaf trees.

Mornings suit dune walks, camel rides and falconry displays. Evenings bring a drive to a high ridge for sunset and dinner under the stars. Al Maha, a desert resort inside the reserve, offers private pool suites looking across the sand.",/images/world/attractions/dubai-desert-conservation-reserve.jpg,,standard,false,Half day,,true,"Stay at Al Maha, inside the reserve",true,17
sheikh-zayed-grand-mosque,Sheikh Zayed Grand Mosque,United Arab Emirates,Abu Dhabi,"A vast white-marble mosque of domes, reflecting pools and floral inlay, luminous at dusk.","Completed in 2007, the Sheikh Zayed Grand Mosque can hold more than 40,000 worshippers. Its 82 white domes, marble courtyards and reflecting pools draw on Mughal, Moorish and Persian traditions. Sheikh Zayed, the founder of the UAE, is buried beside it.

Inside the main prayer hall, one of the world's largest hand-knotted carpets, made in Iran, spreads beneath crystal chandeliers. Columns are inlaid with mother-of-pearl and semi-precious stones in flowing floral patterns. After dark, the exterior lighting shifts in tone with the phases of the moon. Guided tours in several languages explain the building and Islamic practice.",/images/world/attractions/sheikh-zayed-grand-mosque.jpg,,standard,false,1-2 hours,,true,Several luxury hotels stand within 10 minutes by car,true,18
