name,country,description,image,displayOrder
Istanbul,Turkey,"Straddling the Bosphorus between Europe and Asia, Istanbul was capital of both the Byzantine and Ottoman empires. Its historic peninsula of Sultanahmet holds many of the city's greatest monuments within walking distance of each other.",/api/placeholder.svg?t=Istanbul&s=Turkey,1
Cappadocia,Turkey,"A high plateau in central Anatolia where volcanic ash has eroded into cones, pillars and valleys. People have carved homes, churches and entire underground cities into its soft rock for well over a thousand years.",/api/placeholder.svg?t=Cappadocia&s=Turkey,2
Pamukkale,Turkey,A village in south-western Turkey below a hillside of white travertine terraces formed by mineral-rich hot springs. The Roman spa city of Hierapolis spreads across the plateau above.,/api/placeholder.svg?t=Pamukkale&s=Turkey,3
Selçuk,Turkey,"A small, friendly market town near the Aegean coast and the gateway to ancient Ephesus. Its hilltop castle and the lone column of the Temple of Artemis are within easy reach.",/api/placeholder.svg?t=Sel%C3%A7uk&s=Turkey,4
Dubai,United Arab Emirates,"A global city of record-breaking towers, luxury hotels and beaches, grown from a small pearling and trading port on Dubai Creek. Its desert begins less than an hour from Downtown.",/api/placeholder.svg?t=Dubai&s=United%20Arab%20Emirates,5
Abu Dhabi,United Arab Emirates,"The capital of the UAE, calmer and greener than Dubai, set on an island with the cultural district of Saadiyat alongside. It is home to some of the region's most important religious and cultural buildings.",/api/placeholder.svg?t=Abu%20Dhabi&s=United%20Arab%20Emirates,6
AlUla,Saudi Arabia,"An oasis valley in north-western Saudi Arabia, framed by sandstone cliffs and dotted with rock formations and ancient inscriptions. It was a staging post on the incense route for more than two thousand years.",/api/placeholder.svg?t=AlUla&s=Saudi%20Arabia,7
Riyadh,Saudi Arabia,Saudi Arabia's fast-changing capital sits on the Najd plateau in the centre of the peninsula. Beyond its modern towers lie the restored mud-brick heart of Diriyah and the dramatic Tuwaiq escarpment.,/api/placeholder.svg?t=Riyadh&s=Saudi%20Arabia,8
Red Sea Coast,Saudi Arabia,Saudi Arabia's western coast faces some of the healthiest coral reefs in the Red Sea. A new generation of low-density island and desert resorts is opening along its lagoons.,/api/placeholder.svg?t=Red%20Sea%20Coast&s=Saudi%20Arabia,9
Kuala Lumpur,Malaysia,"Malaysia's capital is a green, modern city of towers, mosques, temples and superb street food. It grew from a 19th-century tin-mining settlement where two rivers meet.",/api/placeholder.svg?t=Kuala%20Lumpur&s=Malaysia,10
Langkawi,Malaysia,"An archipelago of around a hundred islands in the Andaman Sea, close to the Thai border. Rainforest, mangroves and ancient limestone give it the status of a UNESCO Global Geopark.",/api/placeholder.svg?t=Langkawi&s=Malaysia,11
George Town,Malaysia,"The capital of Penang island, founded as a British trading post in 1786. Its streets of shophouses, clan houses and temples are among Asia's best-preserved, and its food is famous across the region.",/api/placeholder.svg?t=George%20Town&s=Malaysia,12
Cameron Highlands,Malaysia,"A cool hill station in the Titiwangsa range, about 1,500 metres above sea level. Tea estates, strawberry farms and mossy cloud forest make it a restful contrast to the lowlands.",/api/placeholder.svg?t=Cameron%20Highlands&s=Malaysia,13
Bangkok,Thailand,"Thailand's capital unfolds along the Chao Phraya River, where royal palaces and temples stand near riverside hotels and busy markets. It is a city best explored by boat as much as by road.",/api/placeholder.svg?t=Bangkok&s=Thailand,14
Chiang Mai,Thailand,"The cultural capital of northern Thailand, founded in 1296, with a moated old city full of temples. Forested mountains rise just beyond its western edge.",/api/placeholder.svg?t=Chiang%20Mai&s=Thailand,15
Phuket,Thailand,"Thailand's largest island, on the Andaman coast, with fine beaches and a wide choice of resorts. It is the main gateway to the limestone islands of Phang Nga Bay.",/api/placeholder.svg?t=Phuket&s=Thailand,16
Krabi,Thailand,"A province on the Andaman coast known for towering limestone cliffs, clear water and scattered islands. Its coastline around Ao Nang and Railay is among the most striking in Thailand.",/api/placeholder.svg?t=Krabi&s=Thailand,17
London,United Kingdom,"The capital of the United Kingdom, a city of royal ceremony, world-class museums, parks and theatres. Two thousand years of history are layered along the River Thames.",/api/placeholder.svg?t=London&s=United%20Kingdom,18
Edinburgh,United Kingdom,"Scotland's capital, built across hills and ridges between a castle on volcanic rock and the royal palace of Holyroodhouse. Its medieval Old Town and Georgian New Town are a UNESCO World Heritage Site.",/api/placeholder.svg?t=Edinburgh&s=United%20Kingdom,19
Isle of Skye,United Kingdom,"The largest island of the Inner Hebrides, off Scotland's west coast, linked to the mainland by a bridge. Its jagged mountains, sea cliffs and small crofting villages have a rare, wild beauty.",/api/placeholder.svg?t=Isle%20of%20Skye&s=United%20Kingdom,20
Bath,United Kingdom,"A graceful city in Somerset built around natural hot springs, famous for its Roman baths and honey-coloured Georgian crescents. The whole city is a UNESCO World Heritage Site.",/api/placeholder.svg?t=Bath&s=United%20Kingdom,21
Paris,France,"France's capital on the Seine, a city of wide boulevards, café terraces and world-class museums, best explored on foot between its neighbourhoods and riverside quays.",/api/placeholder.svg?t=Paris&s=France,22
Versailles,France,"A stately town south-west of Paris, built around the royal palace and its gardens, and an easy half-hour to forty minutes by train from the city centre.",/api/placeholder.svg?t=Versailles&s=France,23
Normandy,France,"A green region of orchards, dairy farms and dramatic tidal coast in north-western France, known for its abbeys, cider and Second World War history.",/api/placeholder.svg?t=Normandy&s=France,24
French Riviera,France,"The Mediterranean coast between Nice and the Italian border, where hilltop villages look down on turquoise bays, yachts and Belle Époque villas.",/api/placeholder.svg?t=French%20Riviera&s=France,25
Rome,Italy,"The Eternal City, where ancient ruins, Baroque piazzas and the Vatican sit within walking distance of one another, and every street carries some layer of history.",/api/placeholder.svg?t=Rome&s=Italy,26
Florence,Italy,"The compact capital of Tuscany and cradle of the Renaissance, with Brunelleschi's dome, Medici palaces and galleries filled with masterpieces along the Arno.",/api/placeholder.svg?t=Florence&s=Italy,27
Venice,Italy,"A city of canals and palazzi built across more than a hundred small islands in a lagoon, where boats replace cars and every journey happens on foot or by water.",/api/placeholder.svg?t=Venice&s=Italy,28
Amalfi Coast,Italy,"A steep stretch of coastline south of Naples, with pastel villages stacked above the sea, lemon terraces and a winding cliff road between Positano, Amalfi and Ravello.",/api/placeholder.svg?t=Amalfi%20Coast&s=Italy,29
Granada,Spain,"An Andalusian city below the Sierra Nevada, the last seat of Muslim rule in Spain, with the Alhambra above and the white lanes of the Albaicín opposite.",/api/placeholder.svg?t=Granada&s=Spain,30
Barcelona,Spain,"Catalonia's seaside capital, known for Gaudí's modernist buildings, the medieval Gothic Quarter and a relaxed Mediterranean way of life.",/api/placeholder.svg?t=Barcelona&s=Spain,31
