slug,title,description,location,durationDays,priceFrom,featured,category,destination,coverImage,images
serengeti-the-calving-ground,Serengeti: The Calving Ground,"Nine days on the short-grass plains in February, when half a million wildebeest are born inside three weeks and every predator on the ecosystem knows it. A mobile camp that moves with the herds rather than waiting for them, and a guide who reads the plains a day ahead.","Southern Serengeti, Tanzania",9,24500,true,Safari,Tanzania,/images/tour-serengeti-calving.jpg,/images/tour-serengeti-calving.jpg | /images/act-game-drive.jpg | /images/act-balloon.jpg
okavango-water-season,Okavango: Water Season,"Eight days in the delta at flood, when the Angolan rains finally arrive and the floodplains that were dust in October carry a mokoro. Camps reachable only by water, and channels that change course between one season and the next.","Okavango Delta, Botswana",8,31000,true,Safari,Botswana,/images/tour-okavango-water.jpg,/images/tour-okavango-water.jpg | /images/act-mokoro.jpg | /images/step-water-camp.jpg
luangwa-on-foot,Luangwa: On Foot,"Nine days walking the valley where the walking safari was invented, moving between three bush camps with everything carried ahead of you. No vehicle unless you want one. The pace is deliberate and the perspective is entirely different at ground level.","South Luangwa, Zambia",9,19800,false,Safari,Zambia,/images/tour-luangwa-walking.jpg,/images/tour-luangwa-walking.jpg | /images/act-walking-safari.jpg
laikipia-the-private-plateau,Laikipia: The Private Plateau,"Eight days on a private conservancy north of Mount Kenya, where the land is worked as much as it is watched and the rules are set by the owners rather than a park authority. Ride, walk, track on foot, or drive off-road — none of which is permitted in the reserves further south.","Laikipia, Kenya",8,27000,true,Safari,Kenya,/images/tour-laikipia-plateau.jpg,/images/tour-laikipia-plateau.jpg | /images/act-horseback.jpg | /images/act-rhino.jpg
virunga-eight-families,Virunga: Eight Families,"Six days on the Rwandan side of the Virungas, with two gorilla permits rather than one — the second morning is when you stop photographing and start watching. Bamboo forest at three thousand metres, and a lodge close enough to the trailhead that nobody is up at four.","Volcanoes National Park, Rwanda",6,22000,true,Mountain & Wilderness,Rwanda,/images/tour-virunga-gorillas.jpg,/images/tour-virunga-gorillas.jpg | /images/act-gorilla-trek.jpg
skeleton-coast-fog-and-bone,Skeleton Coast: Fog and Bone,"Ten days down the least visited coastline in Africa, flown rather than driven because the distances make anything else a waste of the trip. Wrecks half buried in dune, seal colonies audible before they are visible, and desert-adapted elephant in riverbeds that run once a decade.","Skeleton Coast, Namibia",10,29500,false,Mountain & Wilderness,Namibia,/images/tour-skeleton-coast.jpg,/images/tour-skeleton-coast.jpg | /images/act-shipwreck.jpg | /images/step-desert-camp.jpg
mnemba-after-the-safari,Mnemba: After the Safari,"Seven days off the north-east corner of Zanzibar, designed to follow a week in the bush rather than stand alone. Nothing scheduled, a reef that starts twenty metres from the sand, and the specific pleasure of not being driven anywhere at six in the morning.","Zanzibar Archipelago, Tanzania",7,18500,false,Island & Coast,Tanzania,/images/tour-mnemba-island.jpg,/images/tour-mnemba-island.jpg | /images/act-reef-snorkel.jpg | /images/act-dhow.jpg
svalbard-latitude-79,Svalbard: Latitude 79,"Eleven days at the edge of the pack ice aboard a twelve-cabin vessel, in the weeks when the sun does not set and the ice is still far enough south to hold bears. The route is decided each morning by the ice chart, which is the only honest way to plan this.","Svalbard, Norwegian Arctic",11,34000,true,Expedition Cruising,Svalbard,/images/tour-svalbard-ice.jpg,/images/tour-svalbard-ice.jpg | /images/act-polar-bear.jpg | /images/step-expedition-ship.jpg
galapagos-out-of-season,Galápagos: Out of Season,"Ten days aboard a sixteen-guest yacht in the cool, unfashionable months, when the water is greener, the seas are livelier and the wildlife is at its most active. The western islands, which the week-long itineraries never reach.","Galápagos Islands, Ecuador",10,26500,false,Expedition Cruising,Ecuador,/images/tour-galapagos-yacht.jpg,/images/tour-galapagos-yacht.jpg | /images/act-snorkel-sealion.jpg | /images/step-yacht.jpg
bhutan-the-long-valley,Bhutan: The Long Valley,"Eleven days west to east on the old route, staying in lodges positioned for the light rather than the road. Monasteries opened privately, a festival timed into the middle of the trip, and enough walking to earn the food.","Paro to Bumthang, Bhutan",11,23500,false,Mountain & Wilderness,Bhutan,/images/tour-bhutan-valley.jpg,/images/tour-bhutan-valley.jpg | /images/act-tigers-nest.jpg | /images/act-festival.jpg
