tour_slug,step_order,type,title,description,image,images
serengeti-the-calving-ground,1,Flight,"Kilimanjaro, met on the tarmac",Direct from Amsterdam or Doha. You are through immigration and away before the aircraft has finished unloading.,/images/step-flight-international.jpg,/images/step-flight-international.jpg
serengeti-the-calving-ground,2,Flight,Light aircraft to the short grass,"Ninety minutes over the Rift in a chartered Caravan, landing on a strip the camp graded that morning.",/images/step-bush-plane.jpg,/images/step-bush-plane.jpg | /images/step-airstrip.jpg
serengeti-the-calving-ground,3,Hotel,"Mobile camp, six nights","Six tents, exclusive use, moved twice during your stay to stay ahead of the herds. Hot water, proper beds, no generator after dark.",/images/step-mobile-camp.jpg,/images/step-mobile-camp.jpg | /images/step-camp-interior.jpg
serengeti-the-calving-ground,4,Activities,Calving season on the plains,"Out before first light, when the cats are still moving. Births are commonplace in February; what you see around them is the reason to come.",/images/act-game-drive.jpg,/images/act-game-drive.jpg | /images/act-wildebeest.jpg
serengeti-the-calving-ground,5,Activities,Balloon over Ndutu,"One morning aloft at dawn, weather permitting, landing to breakfast laid out on the grass.",/images/act-balloon.jpg,/images/act-balloon.jpg
okavango-water-season,1,Flight,Johannesburg to Maun,"Two hours south to north, then straight onto the delta transfer without an overnight.",/images/step-flight-regional.jpg,/images/step-flight-regional.jpg
okavango-water-season,2,Flight,Over the panhandle,Twenty-five minutes at low altitude. The delta from the air is the only way to understand its scale before you are inside it.,/images/step-bush-plane.jpg,/images/step-bush-plane.jpg | /images/step-delta-aerial.jpg
okavango-water-season,3,Hotel,"Water camp, four nights","Raised on a permanent island, five rooms, reached by boat. Hippo at night close enough to argue with.",/images/step-water-camp.jpg,/images/step-water-camp.jpg | /images/step-camp-deck.jpg
okavango-water-season,4,Hotel,"Dry camp, three nights","A second camp on firmer ground where the game concentrates, so the trip covers both halves of how the delta works.",/images/step-bush-camp.jpg,/images/step-bush-camp.jpg
okavango-water-season,5,Activities,Mokoro at eye level,"Poled through the papyrus by a guide who grew up doing it. Silent, unhurried, and the only way to see the small things.",/images/act-mokoro.jpg,/images/act-mokoro.jpg
okavango-water-season,6,Activities,Night drive on the island,"Permitted here in a way it is not in the national parks. Leopard, civet, and whatever the spotlight finds.",/images/act-night-drive.jpg,/images/act-night-drive.jpg
luangwa-on-foot,1,Flight,Lusaka to Mfuwe,"The scheduled morning service, met airside and driven straight into the park.",/images/step-flight-regional.jpg,/images/step-flight-regional.jpg
luangwa-on-foot,2,Ride,Into the valley,Ninety minutes on a road that stops being a road about halfway. Game starts before the camp does.,/images/step-game-vehicle.jpg,/images/step-game-vehicle.jpg
luangwa-on-foot,3,Hotel,"Three bush camps, six nights","Grass and thatch, rebuilt each season, four rooms apiece. You walk between them; your luggage goes ahead.",/images/step-bush-camp.jpg,/images/step-bush-camp.jpg | /images/step-camp-interior.jpg
luangwa-on-foot,4,Activities,Walking with an armed scout,"Out at six with a guide and a national parks scout. Tracks, birds, and the occasional very deliberate detour.",/images/act-walking-safari.jpg,/images/act-walking-safari.jpg
luangwa-on-foot,5,Activities,Leopard after dark,"The Luangwa holds one of the highest leopard densities in Africa, and the night drives here are the reason people return.",/images/act-night-drive.jpg,/images/act-night-drive.jpg | /images/act-leopard.jpg
laikipia-the-private-plateau,1,Flight,Nairobi to Nanyuki,"Forty minutes from Wilson, with Mount Kenya off the right wing if the cloud allows.",/images/step-bush-plane.jpg,/images/step-bush-plane.jpg
laikipia-the-private-plateau,2,Hotel,"Conservancy house, seven nights","Exclusive use. Six bedrooms, your own staff, and no fixed timetable for anything including meals.",/images/step-conservancy-house.jpg,/images/step-conservancy-house.jpg | /images/step-house-interior.jpg
laikipia-the-private-plateau,3,Activities,Riding the plateau,"Horses suited to whatever you actually ride, out among plains game that ignores a horse entirely.",/images/act-horseback.jpg,/images/act-horseback.jpg
laikipia-the-private-plateau,4,Activities,Tracking rhino on foot,"With the conservancy's own monitoring team, who know each animal individually and are working rather than performing.",/images/act-rhino.jpg,/images/act-rhino.jpg | /images/act-tracking.jpg
laikipia-the-private-plateau,5,Activities,North to the Samburu lands,"A full day into drier country for the northern species — gerenuk, reticulated giraffe, Grevy's zebra.",/images/act-game-drive.jpg,/images/act-game-drive.jpg
virunga-eight-families,1,Visa,Permits and paperwork handled,Gorilla permits are capped daily and sell out months ahead. Yours are secured and paid before anything else is booked.,/images/step-documents.jpg,/images/step-documents.jpg
virunga-eight-families,2,Flight,Kigali direct,"Overnight from Europe, on the ground by morning, and met before the immigration hall.",/images/step-flight-international.jpg,/images/step-flight-international.jpg
virunga-eight-families,3,Ride,Two hours to the volcanoes,"Tarmac the whole way through terraced hills, which is not what most people expect of this drive.",/images/step-road-transfer.jpg,/images/step-road-transfer.jpg
virunga-eight-families,4,Hotel,"Forest-edge lodge, five nights","Fireplaces, proper hot water and drying rooms that matter more than they sound after a wet trek.",/images/step-forest-lodge.jpg,/images/step-forest-lodge.jpg | /images/step-lodge-interior.jpg
virunga-eight-families,5,Activities,"Two treks, two families",Groups are assigned by fitness on the morning. One hour of climbing or four; the hour with the family is the same either way.,/images/act-gorilla-trek.jpg,/images/act-gorilla-trek.jpg | /images/act-bamboo-forest.jpg
virunga-eight-families,6,Activities,Golden monkeys in the bamboo,"A gentler morning at lower altitude, and the better of the two for photography.",/images/act-golden-monkey.jpg,/images/act-golden-monkey.jpg
skeleton-coast-fog-and-bone,1,Flight,"Windhoek, then west",International arrival met and transferred straight to the charter terminal.,/images/step-flight-international.jpg,/images/step-flight-international.jpg
skeleton-coast-fog-and-bone,2,Flight,"Private charter, coast north",Your own aircraft for the week. The route is flown low along the shoreline and changes daily with the fog.,/images/step-bush-plane.jpg,/images/step-bush-plane.jpg | /images/step-coast-aerial.jpg
skeleton-coast-fog-and-bone,3,Hotel,"Desert camps, eight nights","Three camps, none with a neighbour inside a hundred kilometres. Canvas, stone floors, and complete darkness at night.",/images/step-desert-camp.jpg,/images/step-desert-camp.jpg | /images/step-camp-interior.jpg
skeleton-coast-fog-and-bone,4,Activities,Wrecks and the seal coast,Walked at low tide with someone who knows which hulls are which and how they got there.,/images/act-shipwreck.jpg,/images/act-shipwreck.jpg | /images/act-seal-colony.jpg
skeleton-coast-fog-and-bone,5,Activities,Desert elephant in the Hoanib,"Tracked along a dry riverbed. Not guaranteed on any given day, which is rather the point.",/images/act-desert-elephant.jpg,/images/act-desert-elephant.jpg
skeleton-coast-fog-and-bone,6,Activities,Sossusvlei before the gates open,"A final two nights south, into the dunes at first light ahead of the day visitors.",/images/act-dunes.jpg,/images/act-dunes.jpg
mnemba-after-the-safari,1,Flight,Arusha to Zanzibar,"Ninety minutes direct from the safari circuit, so the transition happens in one morning.",/images/step-flight-regional.jpg,/images/step-flight-regional.jpg
mnemba-after-the-safari,2,Ride,Boat across the channel,Twenty minutes from the beach at Muyuni. Luggage goes separately; you do not see it again until it is unpacked.,/images/step-boat-transfer.jpg,/images/step-boat-transfer.jpg
mnemba-after-the-safari,3,Hotel,"Island bandas, six nights","Twelve rooms on the whole island, thatched, open to the sea, no glass in the windows and no need for any.",/images/step-beach-banda.jpg,/images/step-beach-banda.jpg | /images/step-banda-interior.jpg
mnemba-after-the-safari,4,Activities,"The reef, on your own schedule",Snorkel straight off the beach or dive the drop-off. Green turtles are resident and entirely uninterested in you.,/images/act-reef-snorkel.jpg,/images/act-reef-snorkel.jpg | /images/act-turtle.jpg
mnemba-after-the-safari,5,Activities,Dhow at the end of the day,"Sailed rather than motored, out for the light, back when you feel like it.",/images/act-dhow.jpg,/images/act-dhow.jpg
svalbard-latitude-79,1,Flight,London to Oslo,"Afternoon service, connecting north the following morning rather than the same night.",/images/step-flight-international.jpg,/images/step-flight-international.jpg
svalbard-latitude-79,2,Layover,One night in Oslo,A harbour hotel and a proper dinner. The alternative is arriving in Longyearbyen already tired.,/images/step-city-hotel.jpg,/images/step-city-hotel.jpg
svalbard-latitude-79,3,Flight,Longyearbyen,"Three hours to seventy-eight degrees north, over nothing at all for the last hour.",/images/step-flight-regional.jpg,/images/step-flight-regional.jpg
svalbard-latitude-79,4,Hotel,"Expedition vessel, eight nights","Twelve cabins, an ice-strengthened hull, and an expedition team that outnumbers the guests two to three.",/images/step-expedition-ship.jpg,/images/step-expedition-ship.jpg | /images/step-ship-cabin.jpg
svalbard-latitude-79,5,Activities,North until the ice stops us,"Bears are found on the ice edge, and where that sits changes yearly. Some years it is eighty-one degrees; some years it is not.",/images/act-polar-bear.jpg,/images/act-polar-bear.jpg | /images/act-pack-ice.jpg
svalbard-latitude-79,6,Activities,Zodiacs among the walrus,"Landings and cruises daily, weather permitting, at bird cliffs and haul-outs the larger ships cannot approach.",/images/act-zodiac.jpg,/images/act-zodiac.jpg | /images/act-walrus.jpg
galapagos-out-of-season,1,Flight,Overnight to Quito,"Via Madrid or Amsterdam, arriving in the evening.",/images/step-flight-international.jpg,/images/step-flight-international.jpg
galapagos-out-of-season,2,Layover,Two nights at altitude,Quito sits at two thousand eight hundred metres. Two nights here is about acclimatising as much as sightseeing.,/images/step-city-hotel.jpg,/images/step-city-hotel.jpg
galapagos-out-of-season,3,Flight,To Baltra,"Two and a half hours west, plus the biosecurity checks, which are thorough and worth it.",/images/step-flight-regional.jpg,/images/step-flight-regional.jpg
galapagos-out-of-season,4,Hotel,"Sixteen-guest yacht, seven nights","Crewed, stabilised, with two naturalist guides. Small enough to anchor where the hundred-berth vessels are not permitted.",/images/step-yacht.jpg,/images/step-yacht.jpg | /images/step-yacht-cabin.jpg
galapagos-out-of-season,5,Activities,Fernandina and Isabela,"The western islands: flightless cormorant, marine iguana in numbers, and the coldest, richest water in the archipelago.",/images/act-marine-iguana.jpg,/images/act-marine-iguana.jpg | /images/act-galapagos-coast.jpg
galapagos-out-of-season,6,Activities,In the water daily,"Sea lions, penguins and rays, twice a day, in five millimetres of neoprene because the Humboldt is doing its work.",/images/act-snorkel-sealion.jpg,/images/act-snorkel-sealion.jpg
