name,slug,code,region,description,image,displayOrder
Turkey,turkey,TR,mediterranean,"Turkey spans two continents, and its layers of Greek, Roman, Byzantine and Ottoman history sit side by side with a lively modern café culture. Travel moves from the domes and waterways of Istanbul to the soft volcanic valleys of Cappadocia and the classical cities of the Aegean coast.",/images/world/countries/turkey.jpg,1
United Arab Emirates,united-arab-emirates,AE,gulf-middle-east,"The Emirates pair some of the world's most ambitious modern architecture with the older rhythms of creekside trading, desert camps and Arabian hospitality. Distances are short, service is polished, and the winter months bring warm, clear days ideal for city, beach and dune.",/images/world/countries/united-arab-emirates.jpg,2
Saudi Arabia,saudi-arabia,SA,gulf-middle-east,"Saudi Arabia has opened its deserts, ancient kingdoms and coral coast to leisure travellers only in recent years, and much of it still feels quietly undiscovered. Expect Nabataean tombs cut into sandstone, the mud-brick birthplace of the Saudi state, and new, carefully designed resorts on the Red Sea.",/api/placeholder.svg?t=Saudi%20Arabia&s=Gulf%20%26%20Arabia,3
Malaysia,malaysia,MY,southeast-asia,"Malaysia blends Malay, Chinese and Indian cultures, and this is felt most clearly in its food, festivals and places of worship. A single journey can take in a glittering capital, cool tea-covered hills, colonial-era port towns and quiet tropical islands.",/api/placeholder.svg?t=Malaysia&s=Southeast%20Asia,4
Thailand,thailand,TH,southeast-asia,"Thailand moves easily between gilded royal temples, forested northern hills and a southern coast of limestone islands rising from warm green water. Its gracious service, refined cuisine and superb hotels make it one of Asia's most rewarding and relaxed destinations.",/api/placeholder.svg?t=Thailand&s=Southeast%20Asia,5
United Kingdom,united-kingdom,GB,western-europe,"The United Kingdom packs a thousand years of history into a compact island, from royal fortresses and great museums to Georgian spa towns and wild Scottish coastline. Good rail links make it easy to combine London's energy with the quieter drama of the north.",/api/placeholder.svg?t=United%20Kingdom&s=Western%20Europe,6
France,france,FR,western-europe,"France moves easily between grand cities, royal palaces and quiet countryside, linked by some of Europe's fastest trains. Paris sets the tone with its museums and boulevards, while Normandy's coast and the sunlit Riviera show how much the landscape and the light change within a single journey.",/api/placeholder.svg?t=France&s=Western%20Europe,7
Italy,italy,IT,mediterranean,"Italy layers ancient Rome, Renaissance Florence and the canals of Venice within a few hours of each other by high-speed rail. Between the cities lie cliff-edge coastlines and lakes, and everywhere the pace is set by long lunches, evening walks and a deep pride in regional food.",/api/placeholder.svg?t=Italy&s=The%20Mediterranean,8
Spain,spain,ES,mediterranean,"Spain carries eight centuries of Islamic heritage in the south and a restless modern creativity in its cities. Fast trains connect the Moorish palaces of Andalusia with Madrid's great art museums and Barcelona's Gaudí buildings, and days run late, with dinner rarely before nine.",/api/placeholder.svg?t=Spain&s=The%20Mediterranean,9
Switzerland,switzerland,CH,alps-central-europe,"Switzerland is a compact country of high peaks, clear lakes and punctual mountain railways that reach remarkable altitudes. Car-free villages, lakeside towns and panoramic trains make it easy to see glaciers and summits in comfort, with a calm, orderly rhythm to every day.",/api/placeholder.svg?t=Switzerland&s=Alps%20%26%20Central%20Europe,10
Greece,greece,GR,mediterranean,"Greece joins the monuments of classical Athens with a scattering of islands in a bright Aegean sea. Inland, monasteries stand on rock pillars above the plains of Thessaly, while the Cyclades offer whitewashed villages, fresh seafood and long summer evenings by the water.",/api/placeholder.svg?t=Greece&s=The%20Mediterranean,11
Japan,japan,JP,east-asia,"Japan pairs precise, efficient cities with a living tradition of shrines, temples and seasonal ritual. Bullet trains link neon-lit Tokyo with the wooden temples and gardens of Kyoto, and hot-spring inns in the mountains offer a slower, more contemplative way to travel.",/api/placeholder.svg?t=Japan&s=East%20Asia,12
Germany,germany,DE,western-europe,"Germany moves easily between fairytale castles, river valleys lined with vineyards and a capital that wears its twentieth-century history openly. Fast trains link the cities, while the Alps, the Rhine and the Black Forest reward slower travel by boat, car or on foot.",/api/placeholder.svg?t=Germany&s=Western%20Europe,13
Austria,austria,AT,alps-central-europe,"Austria pairs imperial grandeur with Alpine calm: Habsburg palaces and concert halls in Vienna, baroque Salzburg, and lakeside villages framed by limestone peaks. Distances are short, trains are punctual, and coffee-house culture sets an unhurried pace.",/api/placeholder.svg?t=Austria&s=Alps%20%26%20Central%20Europe,14
Portugal,portugal,PT,mediterranean,"Portugal is compact, sunlit and shaped by the Atlantic, from Lisbon's hills and Manueline monuments to the terraced vineyards of the Douro. Tiled façades, seafood lunches and a long southern coastline make it an easy country to travel slowly.",/api/placeholder.svg?t=Portugal&s=The%20Mediterranean,15
Netherlands,netherlands,NL,western-europe,"The Netherlands is a small, flat country engineered around water, with canal cities, windmills and spring bulb fields. Trains and bicycles connect everything, and world-class museums sit within an hour of open polder landscape.",/api/placeholder.svg?t=Netherlands&s=Western%20Europe,16
Croatia,croatia,HR,mediterranean,"Croatia runs along a clear Adriatic coast scattered with more than a thousand islands, walled towns and Roman ruins. Inland, forested national parks and waterfalls offer a cooler counterpoint to the summer sea.",/api/placeholder.svg?t=Croatia&s=The%20Mediterranean,17
China,china,CN,east-asia,"China rewards travellers with scale: imperial palaces, a wall that crosses mountain ridges and an emperor's clay army buried for two thousand years. High-speed rail links the great cities, and beyond them the land turns to limestone peaks, river valleys and quiet villages.",/api/placeholder.svg?t=China&s=East%20Asia,18
Indonesia,indonesia,ID,southeast-asia,"Indonesia stretches across more than 17,000 islands, from Bali's temples and rice terraces to the volcanic plains of central Java. Further east, the seas around Komodo hold dragons on land and some of the richest reefs in the world below the surface.",/api/placeholder.svg?t=Indonesia&s=Southeast%20Asia,19
Vietnam,vietnam,VN,southeast-asia,"Vietnam runs long and narrow down the eastern edge of Indochina, with limestone seascapes in the north and old trading towns along the central coast. Travel here moves between lively street life, imperial history and a cuisine built on fresh herbs and careful balance.",/api/placeholder.svg?t=Vietnam&s=Southeast%20Asia,20
South Korea,south-korea,KR,east-asia,"South Korea pairs a fast, polished capital with palaces, temples and hanok lanes that keep the Joseon and Silla past in plain view. Efficient trains and short domestic flights make it easy to reach the volcanic island of Jeju and the ancient royal city of Gyeongju.",/api/placeholder.svg?t=South%20Korea&s=East%20Asia,21
Singapore,singapore,SG,southeast-asia,"Singapore is a compact island city-state where gardens, waterfront architecture and hawker food sit within minutes of one another. It is clean, safe and simple to navigate, which makes it an easy stopover or a relaxed few days with family.",/api/placeholder.svg?t=Singapore&s=Southeast%20Asia,22
Maldives,maldives,MV,indian-ocean,"The Maldives is a chain of coral atolls in the Indian Ocean, most resorts occupying an island of their own. Days follow the water: reef snorkelling from the villa steps, manta rays and whale sharks further out, and seaplane views over turquoise lagoons.",/api/placeholder.svg?t=Maldives&s=Indian%20Ocean,23
Sri Lanka,sri-lanka,LK,indian-ocean,"Sri Lanka packs ancient rock fortresses, Buddhist temples, tea-covered hills and colonial forts into an island that is easy to cross by road or rail. Distances are short, the welcome is warm and the food is generous with spice and coconut.",/api/placeholder.svg?t=Sri%20Lanka&s=Indian%20Ocean,24
Georgia,georgia,GE,caucasus-central-asia,"Georgia packs snow peaks, cave towns and old wine country into a country smaller than Ireland. Days move between cobbled Tbilisi lanes, hilltop churches and long tables of qvevri wine, with the Greater Caucasus never far from view.",/api/placeholder.svg?t=Georgia&s=Caucasus%20%26%20Silk%20Road,25
Azerbaijan,azerbaijan,AZ,caucasus-central-asia,"Azerbaijan sits where the Caucasus meets the Caspian Sea, and its capital pairs a walled medieval core with glass towers built on oil wealth. Beyond Baku lie rock-art deserts, mud volcanoes and green mountain towns on the old Silk Road.",/api/placeholder.svg?t=Azerbaijan&s=Caucasus%20%26%20Silk%20Road,26
Uzbekistan,uzbekistan,UZ,caucasus-central-asia,"Uzbekistan holds the great Silk Road cities of Samarkand, Bukhara and Khiva, linked today by fast trains across open steppe and desert. Turquoise domes, tiled madrasas and busy bazaars make it one of the richest architectural journeys in Asia.",/api/placeholder.svg?t=Uzbekistan&s=Caucasus%20%26%20Silk%20Road,27
