attraction_slug,activity_slug,displayOrder
ngorongoro-crater,game-drives,1
ngorongoro-crater,birdwatching,2
hagia-sophia,cultural-visits,1
topkapi-palace,cultural-visits,1
cappadocia-goreme,ballooning,1
cappadocia-goreme,hiking,2
cappadocia-goreme,cultural-visits,3
cappadocia-goreme,horse-riding,4
pamukkale-hierapolis,cultural-visits,1
pamukkale-hierapolis,hiking,2
ephesus,cultural-visits,1
burj-khalifa,private-dining,1
al-fahidi-dubai-creek,cultural-visits,1
dubai-desert-conservation-reserve,desert-exploration,1
dubai-desert-conservation-reserve,horse-riding,2
dubai-desert-conservation-reserve,ballooning,3
dubai-desert-conservation-reserve,private-dining,4
sheikh-zayed-grand-mosque,cultural-visits,1
louvre-abu-dhabi,cultural-visits,1
louvre-abu-dhabi,canoeing,2
hegra,cultural-visits,1
hegra,desert-exploration,2
elephant-rock-alula,desert-exploration,1
at-turaif-diriyah,cultural-visits,1
at-turaif-diriyah,private-dining,2
edge-of-the-world,hiking,1
edge-of-the-world,desert-exploration,2
red-sea-islands,snorkelling,1
red-sea-islands,diving,2
red-sea-islands,sailing,3
red-sea-islands,marine-wildlife,4
batu-caves,cultural-visits,1
batu-caves,festivals,2
kilim-karst-geoforest-park,birdwatching,1
kilim-karst-geoforest-park,canoeing,2
kilim-karst-geoforest-park,marine-wildlife,3
george-town-penang,cultural-visits,1
cameron-highlands-tea,hiking,1
grand-palace-wat-phra-kaew,cultural-visits,1
grand-palace-wat-phra-kaew,monasteries,2
wat-pho,cultural-visits,1
wat-pho,monasteries,2
wat-phra-that-doi-suthep,cultural-visits,1
wat-phra-that-doi-suthep,monasteries,2
wat-phra-that-doi-suthep,hiking,3
phang-nga-bay,canoeing,1
phang-nga-bay,sailing,2
phang-nga-bay,cultural-visits,3
phang-nga-bay,snorkelling,4
railay-krabi,snorkelling,1
railay-krabi,canoeing,2
railay-krabi,hiking,3
tower-of-london,cultural-visits,1
british-museum,cultural-visits,1
edinburgh-castle-royal-mile,cultural-visits,1
edinburgh-castle-royal-mile,festivals,2
isle-of-skye,hiking,1
isle-of-skye,cultural-visits,2
isle-of-skye,private-dining,3
roman-baths-bath,cultural-visits,1
eiffel-tower,cultural-visits,1
eiffel-tower,private-dining,2
louvre-museum,cultural-visits,1
palace-of-versailles,cultural-visits,1
palace-of-versailles,private-dining,2
mont-saint-michel,cultural-visits,1
mont-saint-michel,monasteries,2
mont-saint-michel,hiking,3
eze-village,hiking,1
eze-village,cultural-visits,2
eze-village,private-dining,3
colosseum,cultural-visits,1
vatican-museums-sistine-chapel,cultural-visits,1
uffizi-gallery,cultural-visits,1
venice-grand-canal-st-marks,cultural-visits,1
amalfi-coast,sailing,1
amalfi-coast,hiking,2
amalfi-coast,private-dining,3
alhambra,cultural-visits,1
sagrada-familia,cultural-visits,1
real-alcazar-seville,cultural-visits,1
prado-museum,cultural-visits,1
matterhorn-gornergrat,hiking,1
jungfraujoch,hiking,1
lucerne-chapel-bridge,cultural-visits,1
lucerne-chapel-bridge,sailing,2
acropolis-athens,cultural-visits,1
oia-santorini,sailing,1
oia-santorini,snorkelling,2
oia-santorini,private-dining,3
meteora-monasteries,monasteries,1
meteora-monasteries,hiking,2
meteora-monasteries,cultural-visits,3
mykonos-little-venice,cultural-visits,1
mykonos-little-venice,sailing,2
mykonos-little-venice,snorkelling,3
fushimi-inari-taisha,cultural-visits,1
fushimi-inari-taisha,hiking,2
kinkaku-ji,cultural-visits,1
arashiyama-bamboo-grove,cultural-visits,1
arashiyama-bamboo-grove,monasteries,2
senso-ji,cultural-visits,1
senso-ji,festivals,2
hakone-lake-ashi,cultural-visits,1
hakone-lake-ashi,hiking,2
hakone-lake-ashi,sailing,3
hakone-lake-ashi,private-dining,4
neuschwanstein-castle,cultural-visits,1
neuschwanstein-castle,hiking,2
berlin-brandenburg-gate-museum-island,cultural-visits,1
rhine-valley-castles,cultural-visits,1
rhine-valley-castles,hiking,2
black-forest,hiking,1
schonbrunn-palace,cultural-visits,1
salzburg-old-town,cultural-visits,1
salzburg-old-town,festivals,2
hallstatt,cultural-visits,1
hallstatt,hiking,2
belem-lisbon,cultural-visits,1
sintra-pena-palace,cultural-visits,1
sintra-pena-palace,hiking,2
porto-douro-valley,cultural-visits,1
porto-douro-valley,private-dining,2
algarve-coast,hiking,1
algarve-coast,canoeing,2
amsterdam-canals-rijksmuseum,cultural-visits,1
kinderdijk-windmills,cultural-visits,1
dubrovnik-city-walls,cultural-visits,1
dubrovnik-city-walls,sailing,2
plitvice-lakes,hiking,1
plitvice-lakes,birdwatching,2
diocletians-palace-split,cultural-visits,1
hvar-island,sailing,1
hvar-island,snorkelling,2
hvar-island,cultural-visits,3
great-wall-mutianyu,hiking,1
great-wall-mutianyu,cultural-visits,2
forbidden-city,cultural-visits,1
terracotta-army,cultural-visits,1
li-river-cruise,cultural-visits,1
li-river-cruise,hiking,2
ubud-tegallalang-rice-terraces,cultural-visits,1
ubud-tegallalang-rice-terraces,hiking,2
uluwatu-temple,cultural-visits,1
uluwatu-temple,festivals,2
borobudur,cultural-visits,1
borobudur,monasteries,2
komodo-national-park,marine-wildlife,1
komodo-national-park,snorkelling,2
komodo-national-park,diving,3
komodo-national-park,sailing,4
ha-long-bay,canoeing,1
ha-long-bay,sailing,2
ha-long-bay,cultural-visits,3
hoi-an-ancient-town,cultural-visits,1
hoi-an-ancient-town,festivals,2
hanoi-old-quarter,cultural-visits,1
hanoi-old-quarter,private-dining,2
hue-imperial-city,cultural-visits,1
hue-imperial-city,monasteries,2
gyeongbokgung-palace,cultural-visits,1
bukchon-hanok-village,cultural-visits,1
jeju-island,hiking,1
jeju-island,cultural-visits,2
gyeongju-historic-areas,cultural-visits,1
gyeongju-historic-areas,monasteries,2
marina-bay-waterfront,private-dining,1
north-male-atoll-resorts,snorkelling,1
north-male-atoll-resorts,diving,2
north-male-atoll-resorts,marine-wildlife,3
north-male-atoll-resorts,private-dining,4
hanifaru-bay,marine-wildlife,1
hanifaru-bay,snorkelling,2
ari-atoll-whale-sharks,marine-wildlife,1
ari-atoll-whale-sharks,snorkelling,2
ari-atoll-whale-sharks,diving,3
sigiriya-rock-fortress,hiking,1
sigiriya-rock-fortress,cultural-visits,2
temple-of-the-tooth-kandy,cultural-visits,1
temple-of-the-tooth-kandy,monasteries,2
temple-of-the-tooth-kandy,festivals,3
ella-nine-arches-hill-country-train,hiking,1
galle-fort,cultural-visits,1
tbilisi-old-town-sulphur-baths,cultural-visits,1
mtskheta-svetitskhoveli-jvari,cultural-visits,1
mtskheta-svetitskhoveli-jvari,monasteries,2
gergeti-trinity-church-kazbegi,hiking,1
gergeti-trinity-church-kazbegi,monasteries,2
gergeti-trinity-church-kazbegi,cultural-visits,3
upper-svaneti-mestia-ushguli,hiking,1
upper-svaneti-mestia-ushguli,cultural-visits,2
upper-svaneti-mestia-ushguli,horse-riding,3
sighnaghi-kakheti-wine-country,cultural-visits,1
sighnaghi-kakheti-wine-country,private-dining,2
sighnaghi-kakheti-wine-country,monasteries,3
baku-old-city-icherisheher,cultural-visits,1
baku-flame-towers-boulevard,cultural-visits,1
gobustan-rock-art-mud-volcanoes,cultural-visits,1
gobustan-rock-art-mud-volcanoes,desert-exploration,2
sheki-khans-palace,cultural-visits,1
gabala-mountain-resort,hiking,1
gabala-mountain-resort,horse-riding,2
samarkand-registan,cultural-visits,1
samarkand-shah-i-zinda,cultural-visits,1
bukhara-old-city,cultural-visits,1
khiva-itchan-kala,cultural-visits,1
khiva-itchan-kala,desert-exploration,2
