path,used_by,what_to_find,where_to_look,must_be_real
/images/act-balloon.jpg,Serengeti: The Calving Ground,Hot air balloon over plains at dawn,Unsplash: 'balloon safari',no - representative stock is fine
/images/act-bamboo-forest.jpg,Virunga: Eight Families,"Bamboo forest, misted",Unsplash: 'bamboo forest',no - representative stock is fine
/images/act-desert-elephant.jpg,Skeleton Coast: Fog and Bone,Elephant in a dry riverbed,Unsplash: 'desert elephant namibia',no - representative stock is fine
/images/act-dhow.jpg,Mnemba: After the Safari,Traditional dhow under sail at sunset,Unsplash: 'dhow zanzibar',no - representative stock is fine
/images/act-dunes.jpg,Skeleton Coast: Fog and Bone,Red dunes at first light,Unsplash: 'sossusvlei dunes',no - representative stock is fine
/images/act-festival.jpg,Bhutan: The Long Valley,Masked cham dancers in a courtyard,Unsplash: 'bhutan festival tsechu',no - representative stock is fine
/images/act-galapagos-coast.jpg,Galápagos: Out of Season,Volcanic Galapagos coastline,Unsplash: 'galapagos coast',no - representative stock is fine
/images/act-game-drive.jpg,Laikipia: The Private Plateau; Serengeti: The Calving Ground,Game drive at golden hour,Unsplash: 'game drive serengeti',no - representative stock is fine
/images/act-golden-monkey.jpg,Virunga: Eight Families,Golden monkey in bamboo,Unsplash: 'golden monkey',no - representative stock is fine
/images/act-gorilla-trek.jpg,Virunga: Eight Families,Mountain gorilla in dense green forest,Unsplash: 'mountain gorilla rwanda',no - representative stock is fine
/images/act-horseback.jpg,Laikipia: The Private Plateau,Riders among plains game,Unsplash: 'horseback safari',no - representative stock is fine
/images/act-leopard.jpg,Luangwa: On Foot,Leopard in a tree,Unsplash: 'leopard',no - representative stock is fine
/images/act-marine-iguana.jpg,Galápagos: Out of Season,Marine iguana on black rock,Unsplash: 'marine iguana',no - representative stock is fine
/images/act-mokoro.jpg,Okavango: Water Season,Dugout canoe poled through reeds,Unsplash: 'mokoro okavango',no - representative stock is fine
/images/act-monastery.jpg,Bhutan: The Long Valley,Himalayan dzong or monastery,Unsplash: 'bhutan dzong',no - representative stock is fine
/images/act-night-drive.jpg,Luangwa: On Foot; Okavango: Water Season,Spotlight on a night drive,Unsplash: 'night safari spotlight',no - representative stock is fine
/images/act-pack-ice.jpg,Svalbard: Latitude 79,Broken pack ice to the horizon,Unsplash: 'arctic pack ice',no - representative stock is fine
/images/act-polar-bear.jpg,Svalbard: Latitude 79,Polar bear on sea ice,Unsplash: 'polar bear svalbard',no - representative stock is fine
/images/act-reef-snorkel.jpg,Mnemba: After the Safari,Snorkeller over a coral reef,Unsplash: 'coral reef snorkel',no - representative stock is fine
/images/act-rhino.jpg,Laikipia: The Private Plateau,"Black or white rhino, close",Unsplash: 'rhino kenya',no - representative stock is fine
/images/act-seal-colony.jpg,Skeleton Coast: Fog and Bone,Large seal colony on a beach,Unsplash: 'cape fur seal colony',no - representative stock is fine
/images/act-shipwreck.jpg,Skeleton Coast: Fog and Bone,Rusted wreck in sand or surf,Unsplash: 'shipwreck skeleton coast',no - representative stock is fine
