attraction_slug,step_order,kind,title,description,images
ngorongoro-crater,1,reach,How to reach,"Fly into Kilimanjaro International (JRO), then about four hours by road through Arusha and Karatu to the crater rim.",/images/step-flight-international.jpg
ngorongoro-crater,2,prepare,What to prepare,"Warm layers for the rim at dawn, binoculars, a hat and sunscreen. The descent road opens early; be ready to leave before sunrise.",
ngorongoro-crater,3,custom,Best time to visit,"June to October is the dry season, when animals gather near water and the roads are easiest.",
hagia-sophia,1,reach,How to reach,"Fly into Istanbul Airport (IST); the drive to Sultanahmet takes about 45-60 minutes, depending on traffic. Sabiha Gökçen Airport (SAW), on the Asian side, is around an hour away. From Pakistan, non-stop flights run from Karachi, Lahore and Islamabad.",
hagia-sophia,2,prepare,What to prepare,"Buy entry tickets online to shorten the queue. Dress modestly: shoulders and knees covered, and women should bring a scarf to cover their hair. Visits pause during prayer times, so allow some flexibility.",
hagia-sophia,3,custom,Best time to visit,"November to April is quieter. Arrive early in the morning, or visit in late afternoon when the western light fills the galleries. Avoid Friday midday prayers.",
hagia-sophia,4,custom,Make it special,"Book a private historian-guide who can read the mosaics and inscriptions with you, then continue to the Basilica Cistern across the square.",
topkapi-palace,1,reach,How to reach,"Fly into Istanbul Airport (IST); allow 45-60 minutes by car to Sultanahmet. The palace gate is beside Hagia Sophia, and the T1 tram stops nearby. From Pakistan, non-stop flights run from Karachi, Lahore and Islamabad.",
topkapi-palace,2,prepare,What to prepare,Book tickets online and decide in advance whether to add the Harem. Wear comfortable shoes for cobbles and many steps. Modest dress is expected in the Sacred Relics chamber.,
topkapi-palace,3,custom,Best time to visit,"Spring (April-May) and autumn (September-October) are the most comfortable. Arrive at opening to see the Treasury before tour groups. The palace closes one day a week, so check before you go.",
topkapi-palace,4,custom,Make it special,"Take a private guide for the Harem, then continue by private boat along the Bosphorus at sunset, past the palaces and waterfront mansions.",
cappadocia-goreme,1,reach,How to reach,"Fly to Istanbul, then take a domestic flight to Nevşehir Kapadokya (NAV), about 40 minutes by car from Göreme, or Kayseri (ASR), about 1 hour 15 minutes away. From Pakistan, non-stop flights run from Karachi, Lahore and Islamabad to Istanbul.",
cappadocia-goreme,2,prepare,What to prepare,"Book a balloon flight well ahead with a licensed operator, and plan two mornings in case the first is cancelled for wind. Bring warm layers for pre-dawn starts, even in summer, and sturdy shoes for the valley trails.",
cappadocia-goreme,3,custom,Best time to visit,April to June and September to October bring mild days and the steadiest flying weather. Balloons launch around sunrise; the valleys are loveliest in the low light of late afternoon.,
cappadocia-goreme,4,custom,Make it special,"Reserve a private balloon basket, then hike the Rose Valley with a guide and finish with dinner on a cave-hotel terrace.",
pamukkale-hierapolis,1,reach,How to reach,"Fly to Denizli Çardak (DNZ) via Istanbul; the drive to Pamukkale takes about an hour. From Selçuk and Ephesus it is roughly three hours by road. From Pakistan, non-stop flights run from Karachi, Lahore and Islamabad to Istanbul.",
pamukkale-hierapolis,2,prepare,What to prepare,"Shoes come off on the travertines, so bring a bag to carry them and a towel for your feet. Bring swimwear for the Antique Pool, sunscreen and a hat, as there is little shade.",
pamukkale-hierapolis,3,custom,Best time to visit,"April to June and September to October are the most comfortable. Come early in the morning, or stay for sunset, when the terraces glow and the day visitors leave.",
ephesus,1,reach,How to reach,"Fly to İzmir Adnan Menderes (ADB) via Istanbul, then drive about an hour to Selçuk. The site has an upper and a lower gate, 4 km from town. From Pakistan, non-stop flights run from Karachi, Lahore and Islamabad to Istanbul.",
ephesus,2,prepare,What to prepare,"Buy tickets in advance and include the Terrace Houses. Wear good walking shoes for uneven marble, and bring water, a hat and sunscreen. Enter at the upper gate and walk downhill.",
ephesus,3,custom,Best time to visit,"April-May and September-October are ideal. Arrive at opening, before cruise groups from Kuşadası, or come in late afternoon when the light warms the library façade.",
ephesus,4,custom,Make it special,"Walk the site with a private archaeologist-guide, then lunch among the vineyards of Şirince village.",
burj-khalifa,1,reach,How to reach,"Fly into Dubai International (DXB); Downtown is about 20 minutes by car, or take the Metro Red Line to Burj Khalifa/Dubai Mall station. From Pakistan, non-stop flights run from Karachi, Lahore and Islamabad.",
burj-khalifa,2,prepare,What to prepare,"Book a timed ticket in advance, particularly for sunset slots, which sell out. Entry is through The Dubai Mall, so allow time to walk. Bring sunglasses; the glare can be strong on clear days.",
