attraction_slug,category_slug,displayOrder
ngorongoro-crater,safari,1
ngorongoro-crater,mountain-wilderness,2
hagia-sophia,architecture-history,1
topkapi-palace,architecture-history,1
cappadocia-goreme,mountain-wilderness,1
cappadocia-goreme,architecture-history,2
pamukkale-hierapolis,architecture-history,1
pamukkale-hierapolis,relaxation-spa,2
ephesus,architecture-history,1
burj-khalifa,architecture-history,1
burj-khalifa,family-fun,2
al-fahidi-dubai-creek,architecture-history,1
dubai-desert-conservation-reserve,mountain-wilderness,1
dubai-desert-conservation-reserve,relaxation-spa,2
sheikh-zayed-grand-mosque,architecture-history,1
louvre-abu-dhabi,architecture-history,1
louvre-abu-dhabi,family-fun,2
hegra,architecture-history,1
hegra,mountain-wilderness,2
elephant-rock-alula,mountain-wilderness,1
elephant-rock-alula,family-fun,2
at-turaif-diriyah,architecture-history,1
edge-of-the-world,mountain-wilderness,1
edge-of-the-world,active-lifestyle,2
red-sea-islands,island-coast,1
red-sea-islands,relaxation-spa,2
petronas-twin-towers,architecture-history,1
petronas-twin-towers,family-fun,2
batu-caves,architecture-history,1
kilim-karst-geoforest-park,island-coast,1
kilim-karst-geoforest-park,mountain-wilderness,2
george-town-penang,architecture-history,1
cameron-highlands-tea,mountain-wilderness,1
cameron-highlands-tea,relaxation-spa,2
grand-palace-wat-phra-kaew,architecture-history,1
wat-pho,architecture-history,1
wat-pho,relaxation-spa,2
wat-phra-that-doi-suthep,architecture-history,1
wat-phra-that-doi-suthep,mountain-wilderness,2
phang-nga-bay,island-coast,1
phang-nga-bay,expedition-cruising,2
railay-krabi,island-coast,1
railay-krabi,active-lifestyle,2
tower-of-london,architecture-history,1
tower-of-london,family-fun,2
british-museum,architecture-history,1
british-museum,family-fun,2
edinburgh-castle-royal-mile,architecture-history,1
isle-of-skye,mountain-wilderness,1
isle-of-skye,island-coast,2
roman-baths-bath,architecture-history,1
roman-baths-bath,relaxation-spa,2
eiffel-tower,architecture-history,1
louvre-museum,architecture-history,1
palace-of-versailles,architecture-history,1
mont-saint-michel,architecture-history,1
mont-saint-michel,island-coast,2
eze-village,architecture-history,1
eze-village,island-coast,2
colosseum,architecture-history,1
vatican-museums-sistine-chapel,architecture-history,1
uffizi-gallery,architecture-history,1
venice-grand-canal-st-marks,architecture-history,1
venice-grand-canal-st-marks,island-coast,2
amalfi-coast,island-coast,1
amalfi-coast,relaxation-spa,2
alhambra,architecture-history,1
sagrada-familia,architecture-history,1
real-alcazar-seville,architecture-history,1
prado-museum,architecture-history,1
matterhorn-gornergrat,mountain-wilderness,1
matterhorn-gornergrat,rail-road,2
jungfraujoch,mountain-wilderness,1
jungfraujoch,rail-road,2
lucerne-chapel-bridge,architecture-history,1
lucerne-chapel-bridge,mountain-wilderness,2
glacier-express,rail-road,1
glacier-express,mountain-wilderness,2
acropolis-athens,architecture-history,1
oia-santorini,island-coast,1
oia-santorini,relaxation-spa,2
meteora-monasteries,architecture-history,1
meteora-monasteries,mountain-wilderness,2
mykonos-little-venice,island-coast,1
mykonos-little-venice,architecture-history,2
fushimi-inari-taisha,architecture-history,1
fushimi-inari-taisha,mountain-wilderness,2
kinkaku-ji,architecture-history,1
arashiyama-bamboo-grove,architecture-history,1
arashiyama-bamboo-grove,mountain-wilderness,2
senso-ji,architecture-history,1
hakone-lake-ashi,relaxation-spa,1
hakone-lake-ashi,mountain-wilderness,2
neuschwanstein-castle,architecture-history,1
neuschwanstein-castle,mountain-wilderness,2
berlin-brandenburg-gate-museum-island,architecture-history,1
rhine-valley-castles,rail-road,1
rhine-valley-castles,architecture-history,2
black-forest,mountain-wilderness,1
black-forest,relaxation-spa,2
black-forest,rail-road,3
schonbrunn-palace,architecture-history,1
schonbrunn-palace,family-fun,2
salzburg-old-town,architecture-history,1
hallstatt,mountain-wilderness,1
hallstatt,architecture-history,2
belem-lisbon,architecture-history,1
sintra-pena-palace,architecture-history,1
sintra-pena-palace,mountain-wilderness,2
porto-douro-valley,architecture-history,1
porto-douro-valley,rail-road,2
algarve-coast,island-coast,1
algarve-coast,relaxation-spa,2
algarve-coast,active-lifestyle,3
amsterdam-canals-rijksmuseum,architecture-history,1
keukenhof-gardens,family-fun,1
keukenhof-gardens,active-lifestyle,2
kinderdijk-windmills,architecture-history,1
kinderdijk-windmills,family-fun,2
dubrovnik-city-walls,architecture-history,1
dubrovnik-city-walls,island-coast,2
plitvice-lakes,mountain-wilderness,1
plitvice-lakes,active-lifestyle,2
diocletians-palace-split,architecture-history,1
hvar-island,island-coast,1
hvar-island,relaxation-spa,2
great-wall-mutianyu,architecture-history,1
great-wall-mutianyu,mountain-wilderness,2
forbidden-city,architecture-history,1
terracotta-army,architecture-history,1
